product_name,product_link
OPPO Reno13 F 5G 12GB/256GB,https://hoanghamobile.com/dien-thoai/oppo-reno13-f-5g-12gb-256gb
OPPO Reno13 F 8GB/256GB,https://hoanghamobile.com/dien-thoai/oppo-reno13-f
OPPO Find N3 (16GB/512GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-find-n3-16gb-512gb-chinh-hang
OPPO Find N3 Flip (12GB/256GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-find-n3-flip-12gb-256gb-chinh-hang
OPPO A17K (3GB/64GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-a17k-3gb-64gb-chinh-hang
Oppo A77s 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a77s-8gb-128gb-chinh-hang
OPPO Reno10 5G (8GB/128GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno10-5g-8gb-128gb-chinh-hang
OPPO Reno10 5G (8GB/256GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-reno10-5g-chinh-hang
OPPO A3 8GB/256GB,https://hoanghamobile.com/dien-thoai/oppo-a3-8gb-256gb
OPPO A3 6GB/128GB,https://hoanghamobile.com/dien-thoai/oppo-a3-6gb-128gb
OPPO A38 6GB/128GB,https://hoanghamobile.com/dien-thoai/oppo-a38-6gb-128gb
OPPO Reno12 5G (12GB/256GB),https://hoanghamobile.com/dien-thoai/oppo-reno12-5g
OPPO A58 8GB/128GB,https://hoanghamobile.com/dien-thoai/oppo-a58-8gb-128gb
OPPO A79 5G 8GB/256GB,https://hoanghamobile.com/dien-thoai/oppo-a79-5g-8gb-256gb
OPPO A18 4GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a18-4gb-128gb-chinh-hang
OPPO Reno12 F 5G (8GB/256GB),https://hoanghamobile.com/dien-thoai/oppo-reno12-f-5g
OPPO A58 (6GB/128GB),https://hoanghamobile.com/dien-thoai-di-dong/oppo-a58-6gb-128gb-chinh-hang
OPPO Find N2 Flip,https://hoanghamobile.com/dien-thoai-di-dong/oppo-find-n2-flip
OPPO A18 4GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/oppo-a18-4gb-64gb-chinh-hang
