product_name,product_link
Realme Note 60 4/64GB,https://hoanghamobile.com/dien-thoai/realme-note-60-4-64gb
Realme 13+ 5G 8/256GB,https://hoanghamobile.com/dien-thoai/realme-13-5g-8-256gb
realme C53 - 8GB/256GB,https://hoanghamobile.com/dien-thoai/realme-c53-8-256gb-chinh-hang
realme C60 (4GB/64GB),https://hoanghamobile.com/dien-thoai/realme-c60-4gb-64gb-chinh-hang
realme C55 - 6GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c55-6gb-128gb-chinh-hang
Realme C51 6GB/256GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-6gb-256gb-chinh-hang
realme C51 3GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-3gb-64gb-chinh-hang
Realme C51 4GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c51-4gb-128gb-chinh-hang
realme 11 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-11-chinh-hang
realme narzo 50i prime (4GB/64GB),https://hoanghamobile.com/dien-thoai-di-dong/realme-narzo-50i-prime-4gb-64gb-chinh-hang
realme 11 Pro 8GB/256GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-11-pro-chinh-hang
realme C30s 3GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c30s-3gb-64gb-chinh-hang
realme C55 - 8GB/256GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c55-8gb-256gb-chinh-hang
realme 10 4G 8GB/256GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-10-4g-8gb-256gb-chinh-hang
realme C33 3GB/32GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c33-3gb-32gb-chinh-hang
realme C33 4GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c33-4gb-64gb-chinh-hang
realme C30s 2GB/32GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c30s-2gb-32gb-chinh-hang
realme C35 - 4GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c35-4g-64g-chinh-hang
realme C35 - 4GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/realme-c35-4gb-128gb-chinh-hang
Realme C61 6/128Gb,https://hoanghamobile.com/dien-thoai/realme-c61-6-128gb
Realme C61 4/128GB,https://hoanghamobile.com/dien-thoai/realme-c61-4-128gb
Realme Note 60x (3GB/64GB),https://hoanghamobile.com/dien-thoai/realme-note-60x
