product_name,product_link
Vivo Y19S 8/128GB,https://hoanghamobile.com/dien-thoai/vivo-y19s-8-128gb
Vivo Y100 8/256GB,https://hoanghamobile.com/dien-thoai/vivo-y100-8-256gb
Vivo Y03T 4/128GB,https://hoanghamobile.com/dien-thoai/vivo-y03t-4-128gb
Vivo Y03T 4/64GB- Chính hãng,https://hoanghamobile.com/dien-thoai/vivo-y03t-4-64gb-chinh-hang
Vivo Y18s 6/128GB,https://hoanghamobile.com/dien-thoai/vivo-y18s-6-128gb-chinh-hang
Vivo Y03 4/64GB,https://hoanghamobile.com/dien-thoai/vivo-y03-4-64gb-chinh-hang
Vivo V29e - 5G,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v29e-chinh-hang
Vivo Y17s 4GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y17s-4gb-128gb-chinh-hang
Vivo Y36 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y36-8gb-128gb-chinh-hang
vivo V27e,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v27e-chinh-hang
Vivo Y35 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y35-8gb-128gb-chinh-hang
Vivo V25 5G 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v25-5g-8gb-128gb-chinh-hang
Vivo V25e 4G 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-v25e-4g-8gb-128gb-chinh-hang
Vivo Y22s 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y22s-8gb-128gb-chinh-hang
Vivo Y02s - 3GB/32GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-y02s-chinh-hang
Vivo T1 5G,https://hoanghamobile.com/dien-thoai-di-dong/vivo-t1-5g-chinh-hang
Vivo T1X 8GB/128GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-t1x-8gb-128gb-chinh-hang
Vivo T1X 4GB/64GB,https://hoanghamobile.com/dien-thoai-di-dong/vivo-t1x-4g-64g-chinh-hang
