product_name,product_link
Xiaomi Redmi Note 14 6GB/128GB,https://hoanghamobile.com/dien-thoai/redmi-note-14
Xiaomi Redmi Note 14 Pro+ 5G 8GB/256GB,https://hoanghamobile.com/dien-thoai/redmi-note-14-pro-plus-5g
Xiaomi Redmi 12 4GB/128GB,https://hoanghamobile.com/dien-thoai/xiaomi-redmi-12-4gb-128gb
Xiaomi Redmi 14C 4GB/128GB,https://hoanghamobile.com/dien-thoai/xiaomi-redmi-14c-4gb-128gb
Xiaomi Redmi 12 8GB/128GB,https://hoanghamobile.com/dien-thoai/xiaomi-redmi-12-8gb-128gb
Xiaomi 14 Ultra 16GB/512GB,https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-14-ultra
Xiaomi 14T 12GB/512GB,https://hoanghamobile.com/dien-thoai/xiaomi-14t
Xiaomi 14T Pro 12GB/512GB,https://hoanghamobile.com/dien-thoai/xiaomi-14t-pro-12gb-512gb
Xiaomi 14 (12GB/256GB),https://hoanghamobile.com/dien-thoai/xiaomi-14-12gb-256gb-chinh-hang
POCO X6 5G (8GB/256GB),https://hoanghamobile.com/dien-thoai/poco-x6-5g-8gb-256gb-chinh-hang
Redmi Note 13 Pro+ 5G (8GB/256GB),https://hoanghamobile.com/dien-thoai/redmi-note-13-pro-plus-8gb-256gb-chinh-hang
Redmi Note 13 (6GB/128GB),https://hoanghamobile.com/dien-thoai/redmi-note-13-6gb-128gb-chinh-hang
Xiaomi 13T (12GB/256GB),https://hoanghamobile.com/dien-thoai-di-dong/xiaomi-13t-12gb-256gb-chinh-hang
Redmi A3 (4GB/128GB),https://hoanghamobile.com/dien-thoai-di-dong/redmi-a3-4gb-128gb-chinh-hang
Redmi A2+ (3GB/64GB),https://hoanghamobile.com/dien-thoai/redmi-a2-series-3gb-64gb-chinh-hang
Redmi Note 12 (4GB/128GB),https://hoanghamobile.com/dien-thoai-di-dong/redmi-note-12-4gb-128gb-chinh-hang
Redmi Note 12 Pro 5G (8GB/256GB),https://hoanghamobile.com/dien-thoai-di-dong/redmi-note-12-pro-5g-8gb-256gb-chinh-hang
Redmi Note 11 Pro 5G (8GB/128GB),https://hoanghamobile.com/dien-thoai-di-dong/redmi-note-11-pro-5g-chinh-hang
